norm_id,ROI,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,11112,11113,11114,11115,11116,11117,11118,11119,11120,11121,11122,11123,11124,11125,11126,11127,11128,11129,11130,11131,11132,11133,11134,11135,11136,11137,11138,11139,11140,11141,11142,11143,11144,11145,11146,11147,11148,11149,11150,11151,11152,11153,11154,11155,11156,11157,11158,11159,11160,11161,11162,11163,11164,11165,11166,11167,11168,11169,11170,11171,11172,11173,11174,11175,12101,12102,12103,12104,12105,12106,12107,12108,12109,12110,12111,12112,12113,12114,12115,12116,12117,12118,12119,12120,12121,12122,12123,12124,12125,12126,12127,12128,12129,12130,12131,12132,12133,12134,12135,12136,12137,12138,12139,12140,12141,12142,12143,12144,12145,12146,12147,12148,12149,12150,12151,12152,12153,12154,12155,12156,12157,12158,12159,12160,12161,12162,12163,12164,12165,12166,12167,12168,12169,12170,12171,12172,12173,12174,12175,AtRisk
T0008-2-1,T0008-2-1-4yr,3.6957769,3.0293941,2.5406525,2.9768693,3.8120792,3.4660196,3.1773334,3.1842093,3.8000736,3.1581631,2.6509745,3.168437,3.7000754,3.1168466,3.2014723,3.4794183,4.8018398,6.2334743,3.0808926,2.8030581,3.5336685,3.2829094,3.1438394,3.5711081,3.1261156,3.2904286,3.0168016,2.4180045,2.8886037,3.4070644,3.2788658,3.7175834,3.1193237,3.3523192,3.722275,3.1471734,3.4748433,3.3482394,3.1472082,3.1325302,2.818423,2.1105151,3.2134621,4.1692057,2.7401037,2.3593633,2.9189231,4.1933641,3.3847406,4.1316767,3.2188671,2.7512937,2.8348629,3.1168537,2.8569863,3.1574767,2.6606469,2.5989611,2.6941102,2.9568329,3.1710126,2.981442,2.884517,2.9700813,3.4102261,3.0140076,3.0092101,2.6874993,2.7901695,2.8567152,3.2800281,3.1533678,2.918838,3.0185411,2.8791103,3.4222395,3.368197,2.7025747,3.0824699,3.5391474,3.2675269,3.1977799,3.1069255,3.65482,2.9273262,2.752809,3.2230303,3.6252799,3.0696669,3.0951481,3.3711033,5.0306602,5.5379324,3.3219929,2.9554238,3.5440161,3.0150537,3.2445376,3.6450148,3.3152845,3.206835,3.0681319,2.4785616,3.0065911,3.2465341,3.2276511,3.4675479,3.2179496,3.456347,3.8097444,2.9510622,3.4584467,3.6571004,3.1892197,3.4265854,2.8568952,2.082396,3.0886517,4.0343323,2.7081144,2.4834664,2.8037436,4.3355346,3.479178,4.1118417,3.3085423,3.3334663,2.9529223,2.9536414,3.0176458,3.12079,2.9030142,2.868855,2.8768313,3.0251873,3.1169083,3.061234,3.0203738,2.7423525,3.3024771,2.9137144,3.0631113,2.7808962,2.9652598,3.0008678,3.3657434,3.1963804,3.3351047,3.0642662,2.8620846,1
T0008-2-2,T0008-2-2-4yr,4.5266719,2.8599212,2.5581441,2.8616836,3.635581,3.2535839,2.8752739,3.0920372,3.554888,2.4066923,2.9215128,3.0330131,3.6360164,3.3251998,3.2286146,3.3211105,4.2611823,5.0371504,3.0775952,2.9461081,3.4688058,2.7197902,3.130054,3.8125548,3.2349415,3.1145811,3.0034113,2.3283954,2.7995319,3.4180844,3.4745314,3.6351624,2.6121151,3.5072291,4.0192947,2.8834009,3.5501838,3.7004268,3.5412252,3.008873,2.6079147,2.1594958,3.0557003,4.5391507,2.6126554,2.2696447,2.6873984,4.197402,3.2215364,3.3798916,3.362911,3.0469003,3.0174222,3.082602,2.8406048,3.7584088,2.7921433,2.6019244,2.6289549,2.704783,3.1375859,2.8852603,3.4076693,2.9131508,4.0495896,2.8787239,3.1885204,2.554424,2.7238038,2.7803025,4.0137,3.0091231,4.2862773,2.8314998,2.5706236,3.2670443,3.2846677,2.594929,2.8854289,3.3387327,3.3296611,2.9441297,2.9294858,3.2115824,2.5743201,2.6478662,3.0282013,3.4424665,3.0133991,3.2029762,3.2580979,4.3080053,5.0630174,3.2559564,2.935123,3.8057172,2.8747597,2.9815731,3.6782422,3.4114602,3.156481,3.1000302,2.3585551,2.770714,3.2554328,3.341069,3.7701821,2.6690717,3.2819164,4.0131946,2.8698273,3.6301737,3.5795634,3.2128272,3.0287795,2.5544481,2.0463815,3.3051629,4.0900025,2.7326396,2.3036995,2.8927774,4.068141,3.2346244,3.3142834,3.2919917,2.6453598,3.1496558,3.0466852,2.8775809,3.270263,2.9524574,2.879194,2.8007023,3.0202584,4.0686183,2.7455821,2.9781132,3.7555928,3.0576105,2.8239136,2.8104227,2.6469393,2.6899986,2.6327343,4.298903,2.9188967,3.7444689,2.984843,2.6459379,2
T0046-2-1,T0046-2-1-4yr,3.5849729,3.1313851,3.1180232,3.2310026,3.4378579,3.7055988,3.7321696,3.2470808,3.8911946,3.5999668,3.1303523,3.2011204,3.8215034,3.3226495,3.3909347,3.6670854,4.6834807,5.4153013,3.4525387,3.2202094,3.4397869,2.8855696,3.0607879,3.8355212,3.3680263,3.472223,3.0654335,2.8394349,3.1883924,3.4970243,3.4920599,4.2650561,3.1808982,3.4548185,4.0890188,3.1305606,3.5955958,3.7702806,3.1266336,2.9867601,3.1771145,2.3060679,3.540868,4.3923006,3.0989118,2.5693977,3.0611837,4.4473009,3.4602039,3.7133462,3.6419363,3.1568773,2.9898763,3.1455886,3.2293828,3.1280234,3.0684702,2.8327956,2.9363747,3.2117033,3.1316779,2.8120284,3.7501199,2.9707768,3.9450226,3.2800169,3.5106111,3.0384562,2.9843202,2.9464676,3.8560774,3.4235427,3.7472825,3.0700135,2.8261001,3.6782103,3.3328471,3.0034134,3.344584,3.4620576,3.544543,3.5737636,3.3917387,3.7955477,3.5873704,3.2796183,3.2616749,3.7706537,3.2615144,3.3260264,3.6652884,5.1739669,5.9273281,3.6109061,3.3582609,3.8263352,3.2755308,3.2931297,3.847532,3.5904408,3.3211198,3.1058445,2.7130413,3.1800435,3.6055002,3.6728957,4.059545,3.2246966,3.7839639,4.3729844,3.0839496,3.7969055,3.9397283,3.4549398,3.3382254,3.1025982,2.2262385,3.4312568,4.6226072,3.0463915,2.5157137,2.9765863,4.9435568,4.0181718,3.6379287,3.3641207,3.0413215,3.0518103,3.2259319,3.1069319,3.3305199,2.9922562,2.8951635,3.0368264,3.2813652,3.2139823,3.1398251,3.1451569,3.4784322,3.5046566,3.2711656,3.2639363,2.8392463,2.9519053,3.2693353,3.6968069,3.4163077,3.8912816,3.3038294,2.9376807,1
T0068-1-1,T0068-1-1-4yr,11.112815,4.2127695,2.858906,3.3339767,8.8562117,3.5638604,3.5180867,3.17818,3.3339858,2.7804787,3.6845145,3.564348,6.5637584,4.3652248,3.9798653,4.0416951,5.5672803,6.0169792,3.9774849,4.4078946,4.177721,3.1663799,4.5995717,6.7358365,3.6614552,3.6149695,3.6091449,2.6826,3.2582064,3.6859875,7.4570055,5.0763974,3.2163315,4.2229004,5.2085762,3.2681303,3.8368771,3.8505015,3.6473503,3.5383663,2.782433,2.22614,5.3540907,6.2458291,2.9127228,2.4569497,3.029104,4.8264337,4.8657799,3.5536282,5.0295091,3.2154737,3.1092916,3.4469874,3.0175359,3.165195,2.8174472,3.3626676,2.940351,2.9907634,3.4055855,3.2381375,5.812036,6.2202735,4.4531841,3.1482172,2.8989491,3.0001624,3.0043581,2.8283288,5.6624007,3.3163552,3.569674,3.0970049,2.9662147,9.1193085,7.130897,3.3395994,3.3988373,9.2438784,3.587286,3.4318566,3.2162597,3.8387184,2.7646556,3.1832058,3.8100741,5.7153225,4.0986476,3.8593853,4.1986313,5.1083779,5.5292659,4.2538881,3.4084682,4.5008502,3.7390847,4.6279688,5.5317287,3.6652431,3.5579472,3.5563283,3.0244825,2.7809846,3.3838539,8.2072392,4.380281,3.4197888,3.806236,4.6794772,3.2817793,3.8966582,3.8515015,3.7416797,2.9774687,2.6889229,2.3879497,6.4119797,6.4705615,3.0228193,2.8366973,3.0888374,5.2918534,4.1117725,3.3661807,3.9957478,3.1904204,3.1649153,3.6615341,3.0352886,3.3647258,2.9383574,2.8174949,2.883615,3.1950226,3.1942296,2.9579394,4.1997452,9.2300482,3.706238,2.9727457,3.4437218,3.1216137,2.8634517,2.5239949,4.8516288,3.2696648,3.4213777,3.0851812,3.2875161,1
T0068-1-2,T0068-1-2-4yr,3.6683056,3.2247937,3.1462793,3.308851,3.8070738,3.6314807,3.5667596,3.3313208,3.4454234,3.1134124,2.8527563,3.3553648,3.9163806,3.359019,3.4063528,3.9972162,4.8936582,6.1925964,3.388582,3.1515274,3.7969675,2.8129802,3.2379246,3.951972,3.6978724,3.5228808,3.6516676,2.9914401,3.2757664,3.6643901,3.7944853,3.9640522,3.1440232,3.9469278,3.9616117,3.4889688,4.1179299,4.1693869,4.0488582,3.0157547,2.9830892,2.1548281,3.0744412,5.4666438,2.8456836,2.5169845,2.9842749,4.8410201,3.5219615,4.1988659,3.3217871,3.3137307,3.0716643,3.2983072,3.053139,3.4372864,2.9098685,2.8404319,2.6500077,3.4138348,3.4743373,2.8315785,3.0561092,3.3510928,3.4828422,3.0876195,3.0752897,3.0112152,3.1519084,3.2289474,3.2704973,3.1627526,4.3475847,3.0917211,3.0793729,3.7511694,3.0475957,2.9745004,3.3270414,3.6918547,3.8139501,3.3196096,3.3075469,3.7113841,2.6775098,2.8080339,3.6583579,4.6650162,3.7583139,3.712599,4.0035601,4.7452531,5.8173819,3.5028167,2.8962321,3.7375939,3.2578402,3.4345131,4.0868292,3.7647352,3.5081415,3.417727,2.8425956,3.4075546,3.540633,3.6718445,3.4185772,3.3336906,3.7079868,3.9323223,3.2665436,3.8343043,3.780715,4.0665507,3.4253411,2.7629206,2.2355728,3.0570118,5.4057264,2.7689576,2.4722166,2.9201176,5.1945438,3.5514002,3.8413284,3.7313154,3.1700788,3.2076797,3.3905742,2.9803417,3.2634845,3.0744054,3.0629344,2.7919486,3.4945803,3.0904322,3.0335371,3.5538301,3.2267132,3.4137616,3.1045742,3.2409952,2.9186597,2.9327121,2.9953015,4.3175783,3.1031041,3.437629,3.2135303,3.0887189,1
T0072-1-1,T0072-1-1-4yr,3.6464553,3.3370328,3.1334941,3.1288774,3.6279881,3.243962,3.2080476,3.2208555,3.3696041,3.015471,2.9350617,3.1903105,3.9000988,3.313591,3.3204803,3.6955554,4.8693857,6.1258297,3.1500778,3.1227732,3.7214408,3.1064324,3.7609899,3.6598415,3.3549533,3.2819812,3.1349571,2.7612693,3.0580263,3.4437084,3.4649136,3.7229609,2.8306844,3.5441265,3.7522244,3.1701217,3.3169222,3.9637992,3.8327446,3.4852028,2.9057035,2.1545668,3.1674504,5.0812578,2.7908571,2.4511292,3.0922256,5.4737167,3.2701597,4.4563966,3.0552316,2.8987882,2.832505,3.2446637,3.073406,2.6976898,2.7164488,2.6612234,2.7803476,2.8997953,3.0108292,3.1249974,3.4603748,3.1969731,3.2147143,3.0834348,2.6698425,2.7858925,2.9047229,2.9006164,3.513907,3.3720474,3.7881136,2.9550042,2.9857893,3.4378099,3.5565145,2.8650825,3.0792756,3.6935337,3.416147,3.0996208,3.2127843,3.8227062,2.7489493,2.9782486,3.3584592,4.0339956,3.4533963,3.4015379,3.766299,5.3560753,6.1849747,3.0945828,3.0222385,3.9676383,3.119751,3.205874,3.7399585,3.5341787,3.3893983,3.3030679,2.5599422,3.0534277,3.3800614,3.6770742,3.4979451,2.9699855,3.7678828,3.6349642,3.1566486,3.7795608,3.5687435,3.855623,3.5536318,2.807492,2.016994,3.3716371,4.6343179,2.7604387,2.4273231,3.0037243,5.7240529,3.9064176,4.5567536,3.3430643,3.4375405,2.980372,3.1308119,3.1122141,3.4447272,2.8655548,2.6652801,2.5904522,3.0588326,3.7168982,3.2241654,3.0286582,2.9969316,3.3819165,3.0199852,3.1056414,2.7980225,2.8489263,2.924912,4.8126755,3.2920139,3.7071218,3.037673,3.1117666,3
T0072-1-2,T0072-1-2-4yr,3.6063769,3.3769345,2.5609751,3.5341406,3.6136603,3.4942508,3.4046726,3.3549819,4.226151,2.7452848,3.070518,3.2766154,4.2058511,4.4183664,3.4121192,3.6033089,5.021903,5.6848807,3.4592414,2.9710047,4.1824107,4.158534,3.7210929,3.9658184,3.6655023,3.3738012,3.090446,2.5273309,2.9783256,3.4040771,3.1911697,3.5749555,3.0202193,3.9551408,3.7202358,2.6794672,4.1939917,4.4505749,4.3038087,3.0890727,3.0136471,2.2196584,3.1532581,5.6188941,3.0007248,2.36517,2.857866,6.0910487,3.4541779,3.9964447,4.0718904,3.5115726,3.5828118,3.2414303,3.1671796,3.1730981,2.9158909,2.9170549,3.1329167,2.9379487,3.8759952,3.5504904,3.3634939,2.942559,3.8126235,2.9872053,3.5327437,2.7568581,2.9748454,2.9868195,3.6592484,3.2517765,5.2160168,3.3374915,3.0597398,3.4616911,4.1106806,2.7263992,3.0807972,3.7077808,3.3997133,3.4015741,3.3366568,3.5512056,2.8232255,2.9938822,3.4363999,4.3898149,3.3485875,3.4380274,3.6722422,5.0496902,6.0487347,3.7356684,2.8355494,4.3119912,3.447592,3.4395373,3.8308325,3.6045134,3.4711399,2.9476871,2.5470719,2.9080138,3.490943,3.3297238,3.6104002,3.3643727,3.6604166,3.4987266,3.1590056,3.8504853,3.8994443,3.5599818,3.2463975,3.0356233,2.0751672,3.6366661,4.3158503,3.1273334,2.4742179,2.856324,6.5690255,3.5383542,3.7129886,3.4447398,3.8940828,2.9996638,3.3677473,2.9390974,3.1341524,2.8662951,3.4842608,2.7410727,3.3511701,3.6984136,3.2618628,3.1404052,2.8002753,3.4966631,3.1047673,2.8451116,2.8861697,2.8033848,2.8686945,3.4169111,3.2849257,4.3089833,3.1842611,3.5726242,1
T0079-1-1,T0079-1-1-4yr,3.8314705,3.6495762,3.0012357,3.185055,3.6705539,3.9482305,3.5881603,3.118794,3.672972,2.8962262,2.8828664,3.3367846,4.1228433,3.4381895,3.6562762,3.8947446,5.3302393,6.2611885,3.2964618,3.1752024,4.1267815,3.5234447,3.4572799,4.1823125,3.573318,3.6501565,3.2685127,2.6729643,3.0676744,3.4683211,3.7107117,4.7924585,3.1357632,3.9886417,4.4009957,3.005707,3.7399666,3.6973841,4.230835,3.2211759,3.0760055,2.280283,3.1773615,4.6328712,2.9606593,2.4982293,2.9426768,6.3845596,3.5740507,4.4812927,3.918082,3.0951512,3.1921475,3.1556752,3.2908971,3.574733,2.8699203,2.7842927,2.6833913,3.4920166,3.8902476,3.2481496,3.6656706,3.4338002,3.6264534,3.2867401,3.4558625,2.8993416,2.9821198,3.1062071,3.6604135,3.2333918,3.4876418,3.206641,2.8514817,3.5584123,3.346086,3.1226058,3.2179732,3.8618786,3.9571204,3.341922,3.4210417,4.0503492,2.9780777,2.9621332,3.3144343,3.9223697,3.4524493,3.4725835,3.842258,4.8039961,6.1733694,3.4444785,2.946512,3.8188412,3.3420775,3.3988185,3.7706254,3.7130449,3.4125962,3.437706,2.8418522,3.1094835,3.7369442,3.9584424,4.4745154,3.4997399,3.8043859,3.7523756,3.1462369,3.4939182,3.7002382,3.3385353,2.8329289,2.9719028,2.2380517,2.8800926,4.5695977,2.9968071,2.5203817,3.0912836,5.8674254,3.4096696,3.7132399,2.886826,2.9784675,3.1094007,3.3555589,3.0686772,3.3007379,2.9296811,3.058754,2.6714778,3.1247237,3.1237397,3.0961063,3.5619631,3.0020547,3.3398919,3.2468164,3.3950009,3.0173836,3.0246651,2.7901974,4.2245288,3.4268744,3.3937232,3.1585987,3.2223091,1
T0083-1-1,T0083-1-1-4yr,8.0520144,6.2365594,3.1323309,3.6016369,6.5279455,3.3909881,3.2240729,3.3445704,3.5468721,3.1908536,3.2502561,3.7943411,6.9289494,4.4015498,3.8297248,4.0146861,4.853488,6.1456366,4.8844032,4.6172323,4.0796041,3.9442427,3.5263817,6.2977915,3.6018326,3.6179819,3.6906855,3.1293457,3.134768,3.8415949,5.8458934,4.6275511,3.3496242,3.6149757,4.232604,3.2538056,3.8706763,3.6249516,4.4320049,3.6380472,2.9643848,2.1951418,7.4783378,5.5456429,3.1202347,2.4777811,3.1686282,6.6178083,3.5194657,4.2671094,3.5517488,3.4936647,3.0700226,3.6598988,3.2650313,3.5227323,3.1321566,3.2192299,2.7518909,3.4923267,3.2982569,3.1100197,3.7298079,3.8979225,3.9297893,3.1762424,2.9765513,3.18205,2.8996656,3.0319822,4.1143064,3.3139856,3.7047787,3.1736407,3.3686993,7.945765,5.891325,3.3573296,3.2767346,6.3866715,3.6393046,3.4540331,3.3530736,3.5575953,3.046134,3.9669833,3.4499376,7.7133145,4.2882323,3.9268284,4.367733,4.7960544,6.0882621,3.8373489,4.0648437,4.6841335,3.610697,3.4068184,8.7188158,3.7502704,3.5875621,3.8536541,2.9386642,3.267915,3.7955105,7.0409832,3.695457,3.4527647,4.0130415,4.1829996,3.1721134,3.904501,3.8509097,4.2889261,3.3625767,2.8813572,2.1975458,6.1674085,6.5594077,2.9166446,2.5260863,3.2214656,5.9693441,3.8520935,3.7066085,4.3838272,2.8123922,3.3277874,3.2563546,3.1137521,3.2263067,3.1446247,3.6606438,3.2555821,3.3067861,3.6238115,3.282027,10.472772,8.6138821,8.4270697,3.2915351,3.1543133,2.9755447,3.0370207,3.0304224,4.0850167,3.1307242,3.3901772,3.12851,3.5689039,2
